CAUSA_DEF,2015,2016,2017,2018,2019,2020,2021,2022,2023
A233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A239,3.0,6.0,2.0,3.0,3.0,6.0,1.0,0.0,0.0
A244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
A270,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
A278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A279,14.0,11.0,1.0,9.0,9.0,12.0,6.0,5.0,3.0
A281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A301,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
A303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A305,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0
A308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A310,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0
A311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A318,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A319,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
A321,0.0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,3.0
A327,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
A328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
A33X,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A35X,10.0,11.0,11.0,7.0,12.0,7.0,6.0,11.0,4.0
A370,11.0,3.0,5.0,15.0,24.0,3.0,1.0,0.0,5.0
A371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A379,25.0,17.0,16.0,12.0,9.0,11.0,4.0,9.0,22.0
A38X,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A390,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0
A391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A392,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A394,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0
A398,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A399,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
A402,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
A403,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0
A408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
A409,1.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0
A410,1.0,0.0,6.0,1.0,8.0,4.0,9.0,6.0,5.0
A411,2.0,5.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0
A412,5.0,2.0,3.0,8.0,4.0,1.0,6.0,4.0,8.0
A413,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
A414,11.0,3.0,4.0,10.0,17.0,7.0,9.0,2.0,9.0
A415,29.0,28.0,33.0,27.0,38.0,25.0,39.0,36.0,41.0
A418,20.0,26.0,21.0,25.0,53.0,66.0,75.0,76.0,61.0
A419,2862.0,2676.0,2781.0,4885.0,5527.0,4927.0,6033.0,6887.0,7359.0
A420,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
A421,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A429,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
A430,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
A438,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
A449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
A46X,25.0,18.0,22.0,24.0,18.0,21.0,14.0,10.0,7.0
A480,16.0,20.0,19.0,26.0,22.0,25.0,35.0,18.0,21.0
A481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
A483,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
A488,0.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0
A490,2.0,4.0,2.0,5.0,13.0,7.0,11.0,6.0,6.0
A491,2.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,3.0
A492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A493,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
A498,9.0,34.0,27.0,48.0,59.0,43.0,81.0,100.0,90.0
A499,31.0,54.0,58.0,65.0,91.0,81.0,96.0,121.0,104.0
A500,0.0,0.0,0.0,3.0,4.0,3.0,4.0,2.0,2.0
A501,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
